2446,1,ku.dk,dk,11125,19394,ku.dk,dk,2449,1,11152,19385
2767,2,google.dk,dk,10318,18821,google.dk,dk,2783,2,10316,18770
3030,3,au.dk,dk,9725,16770,au.dk,dk,3037,3,9749,16695
3472,4,bloggersdelight.dk,dk,8883,16139,bloggersdelight.dk,dk,3483,4,8889,16139
3740,5,dtu.dk,dk,8471,14102,dtu.dk,dk,3741,5,8490,14050
4655,6,dr.dk,dk,7310,13207,dr.dk,dk,4638,6,7345,13168
5296,7,aau.dk,dk,6767,10094,aau.dk,dk,5248,7,6827,10135
6827,8,sdu.dk,dk,5799,9002,sdu.dk,dk,6792,8,5836,8992
8515,9,um.dk,dk,5023,7740,um.dk,dk,8510,9,5039,7790
9615,10,tv2.dk,dk,4654,8525,tv2.dk,dk,9593,10,4673,8501
10236,11,politiken.dk,dk,4476,7922,politiken.dk,dk,10213,11,4495,7905
14965,12,datatilsynet.dk,dk,3564,7634,datatilsynet.dk,dk,15109,14,3550,7640
15040,13,cbs.dk,dk,3552,5139,cbs.dk,dk,15002,12,3566,5127
15113,14,ekstrabladet.dk,dk,3542,6314,ekstrabladet.dk,dk,15012,13,3564,6287
16675,15,dba.dk,dk,3339,6276,dba.dk,dk,16703,15,3342,6252
17203,16,berlingske.dk,dk,3277,5927,berlingske.dk,dk,17092,16,3297,5932
19353,17,cphpost.dk,dk,3034,4457,cphpost.dk,dk,19326,17,3043,4443
19895,18,kb.dk,dk,2981,4508,kb.dk,dk,19867,18,2991,4514
20098,19,dandomain.dk,dk,2963,5401,dandomain.dk,dk,20370,20,2944,5375
20162,20,jyllands-posten.dk,dk,2958,5320,jyllands-posten.dk,dk,20087,19,2969,5295
20507,21,thelocal.dk,dk,2929,4515,thelocal.dk,dk,20424,21,2940,4484
21112,22,bt.dk,dk,2871,5145,bt.dk,dk,21041,22,2882,5125
21971,23,dmi.dk,dk,2794,4670,dmi.dk,dk,21927,23,2802,4671
22024,24,skoleporten.dk,dk,2791,3699,skoleporten.dk,dk,22141,24,2785,3680
22329,25,blogspot.dk,dk,2766,4653,blogspot.dk,dk,22456,26,2759,4635
22444,26,kk.dk,dk,2756,4870,kk.dk,dk,22197,25,2780,4886
22605,27,retsinformation.dk,dk,2743,5267,retsinformation.dk,dk,23030,28,2715,5178
22787,28,natmus.dk,dk,2729,4567,natmus.dk,dk,22783,27,2734,4566
25224,29,denmark.dk,dk,2565,3631,denmark.dk,dk,25411,31,2557,3606
25231,30,tivoli.dk,dk,2564,4109,tivoli.dk,dk,24893,29,2588,4098
25411,31,pinterest.dk,dk,2553,4383,pinterest.dk,dk,25284,30,2565,4372
26826,32,tele.dk,dk,2471,3600,tele.dk,dk,26754,32,2478,3603
27208,33,ruc.dk,dk,2452,3468,ruc.dk,dk,27356,33,2446,3457
28141,34,itu.dk,dk,2405,3261,itu.dk,dk,27966,34,2414,3262
28659,35,big.dk,dk,2379,3362,big.dk,dk,28550,35,2386,3341
28699,36,information.dk,dk,2376,4179,information.dk,dk,28635,36,2382,4181
29350,37,sunsite.dk,dk,2345,2780,sunsite.dk,dk,29187,37,2355,2790
30123,38,dst.dk,dk,2308,3832,dst.dk,dk,30011,38,2315,3822
30342,39,mst.dk,dk,2299,3940,mst.dk,dk,30421,39,2297,3942
30559,40,louisiana.dk,dk,2289,3393,louisiana.dk,dk,30624,40,2289,3371
30939,41,ens.dk,dk,2274,3665,ens.dk,dk,30857,41,2279,3660
32564,42,sst.dk,dk,2205,4056,sst.dk,dk,31972,42,2231,4045
33073,43,skat.dk,dk,2185,4047,skat.dk,dk,32603,43,2204,4048
33327,44,ioi.dk,dk,2175,3283,ioi.dk,dk,35748,46,2092,3151
34442,45,noma.dk,dk,2135,3220,noma.dk,dk,34469,45,2135,3191
34937,46,ft.dk,dk,2118,3588,ft.dk,dk,34357,44,2139,3610
36403,47,auc.dk,dk,2075,2490,auc.dk,dk,36675,48,2068,2475
36598,48,ssi.dk,dk,2070,3332,ssi.dk,dk,36202,47,2079,3316
36869,49,roskilde-festival.dk,dk,2065,3041,roskilde-festival.dk,dk,36964,49,2062,3036
37509,50,pricerunner.dk,dk,2052,3763,pricerunner.dk,dk,37067,51,2060,3736
37789,51,findsmiley.dk,dk,2046,4385,findsmiley.dk,dk,37066,50,2060,4407
39382,52,casinospilnu.dk,dk,2011,2488,casinospilnu.dk,dk,39407,53,2010,2493
39747,53,ipapercms.dk,dk,2005,3040,ipapercms.dk,dk,38768,52,2024,3035
40560,54,borsen.dk,dk,1995,3528,borsen.dk,dk,40035,54,2000,3554
42586,55,dsb.dk,dk,1971,3159,dsb.dk,dk,42390,55,1972,3157
43386,56,e-pages.dk,dk,1952,3442,e-pages.dk,dk,43252,56,1955,3442
44546,57,cph.dk,dk,1922,2851,cph.dk,dk,43665,57,1945,2862
45173,58,virk.dk,dk,1908,3522,virk.dk,dk,44082,58,1933,3580
48972,59,spillemyndigheden.dk,dk,1875,3179,spillemyndigheden.dk,dk,50270,59,1866,3167
52908,60,panoramas.dk,dk,1847,2284,panoramas.dk,dk,51435,60,1859,2288
54156,61,borger.dk,dk,1823,3554,borger.dk,dk,53906,62,1828,3543
54351,62,fotoagent.dk,dk,1819,3119,fotoagent.dk,dk,55239,63,1802,3094
54786,63,denkongeligesamling.dk,dk,1811,2646,denkongeligesamling.dk,dk,51976,61,1855,2682
55607,64,kongehuset.dk,dk,1797,2761,kongehuset.dk,dk,55495,64,1798,2739
57561,65,ritzau.dk,dk,1768,3129,ritzau.dk,dk,57514,65,1768,3114
57923,66,legoland.dk,dk,1762,2618,legoland.dk,dk,58559,66,1750,2588
59616,67,ices.dk,dk,1731,2139,ices.dk,dk,59477,67,1733,2128
59901,68,tidsskrift.dk,dk,1725,2554,tidsskrift.dk,dk,60771,70,1708,2532
60569,69,videnskab.dk,dk,1712,3146,videnskab.dk,dk,60296,68,1716,3133
60941,70,smk.dk,dk,1706,2523,smk.dk,dk,61718,72,1692,2523
60994,71,politi.dk,dk,1705,3123,politi.dk,dk,60406,69,1714,3112
61216,72,lex.dk,dk,1701,3144,lex.dk,dk,61057,71,1703,3147
61709,73,ufm.dk,dk,1693,2512,ufm.dk,dk,62758,74,1678,2505
62652,74,nationalbanken.dk,dk,1680,2439,nationalbanken.dk,dk,63240,75,1673,2439
64377,75,ing.dk,dk,1666,2865,ing.dk,dk,62339,73,1683,2884
69271,76,nyidanmark.dk,dk,1644,2308,nyidanmark.dk,dk,67680,77,1649,2299
69714,77,csdb.dk,dk,1642,2302,csdb.dk,dk,71373,79,1632,2278
70545,78,kristeligt-dagblad.dk,dk,1638,3040,kristeligt-dagblad.dk,dk,66461,76,1654,3042
71958,79,kvadrat.dk,dk,1630,2329,kvadrat.dk,dk,71158,78,1633,2322
73011,80,altinget.dk,dk,1622,2848,altinget.dk,dk,73150,80,1619,2841
73843,81,billig-arbejdstoj.dk,dk,1613,2625,billig-arbejdstoj.dk,dk,77110,85,1562,2576
75720,82,danskespil.dk,dk,1585,2340,danskespil.dk,dk,75688,81,1584,2339
76230,83,fyens.dk,dk,1576,2832,fyens.dk,dk,76236,82,1575,2838
76896,84,taenk.dk,dk,1566,2833,taenk.dk,dk,76479,83,1571,2820
77169,85,diku.dk,dk,1563,1844,diku.dk,dk,76838,84,1567,1835
77240,86,danskindustri.dk,dk,1561,2822,danskindustri.dk,dk,77873,87,1550,2808
79362,87,elgiganten.dk,dk,1530,2567,elgiganten.dk,dk,78874,88,1536,2571
79587,88,rezetstore.dk,dk,1527,2664,rezetstore.dk,dk,80391,90,1516,2639
80735,89,b.dk,dk,1512,2567,b.dk,dk,79853,89,1524,2569
81205,90,jp.dk,dk,1506,2313,jp.dk,dk,81736,92,1498,2306
81373,91,dfi.dk,dk,1504,2349,dfi.dk,dk,81278,91,1504,2353
81600,92,coop.dk,dk,1501,2452,coop.dk,dk,77408,86,1557,2531
82042,93,intersport.dk,dk,1495,2691,intersport.dk,dk,82584,93,1487,2679
82044,94,rejseplanen.dk,dk,1495,2615,rejseplanen.dk,dk,82964,94,1482,2621
82609,95,sportmaster.dk,dk,1488,2511,sportmaster.dk,dk,83217,96,1479,2513
83412,96,krak.dk,dk,1478,2881,krak.dk,dk,83963,97,1470,2873
83675,97,get2net.dk,dk,1475,2091,get2net.dk,dk,84086,98,1469,2090
83804,98,sundhed.dk,dk,1473,2867,sundhed.dk,dk,83045,95,1481,2875
85602,99,nordjyske.dk,dk,1451,2569,nordjyske.dk,dk,85752,99,1448,2556
86212,100,eniro.dk,dk,1444,2070,eniro.dk,dk,86840,102,1435,2056
86342,101,tripadvisor.dk,dk,1442,2357,tripadvisor.dk,dk,86160,100,1443,2346
86757,102,forsvaret.dk,dk,1437,2333,forsvaret.dk,dk,86902,103,1434,2327
86963,103,hay.dk,dk,1435,1915,hay.dk,dk,86787,101,1436,1899
87325,104,finans.dk,dk,1430,2531,finans.dk,dk,86979,104,1433,2533
88172,105,geus.dk,dk,1421,2152,geus.dk,dk,88668,109,1415,2145
88338,106,jv.dk,dk,1419,2582,jv.dk,dk,88346,107,1418,2583
88980,107,cancer.dk,dk,1412,2665,cancer.dk,dk,89807,111,1402,2651
89641,108,foedevarestyrelsen.dk,dk,1405,2449,foedevarestyrelsen.dk,dk,88353,108,1418,2443
90020,109,uvm.dk,dk,1401,2346,uvm.dk,dk,88139,105,1420,2355
90464,110,computerworld.dk,dk,1396,2368,computerworld.dk,dk,88908,110,1412,2370
91349,111,kongernessamling.dk,dk,1387,2028,kongernessamling.dk,dk,88261,106,1419,2083
92574,112,naturstyrelsen.dk,dk,1374,2695,naturstyrelsen.dk,dk,93178,113,1366,2672
92998,113,diis.dk,dk,1370,1881,diis.dk,dk,92202,112,1377,1880
93649,114,buildabear.dk,dk,1363,1895,buildabear.dk,dk,-1,-1,-1,-1
96021,115,sn.dk,dk,1338,2670,sn.dk,dk,96437,114,1333,2672
98157,116,nicehair.dk,dk,1318,2297,nicehair.dk,dk,98272,116,1317,2286
98540,117,zetasystem.dk,dk,1315,1797,zetasystem.dk,dk,97954,115,1320,1793
98981,118,aarhus.dk,dk,1311,2285,aarhus.dk,dk,99428,119,1308,2284
99278,119,dbu.dk,dk,1309,2307,dbu.dk,dk,99720,120,1306,2302
100355,120,forbrug.dk,dk,1301,2618,forbrug.dk,dk,98585,117,1314,2630
100981,121,digst.dk,dk,1297,2185,digst.dk,dk,99186,118,1310,2193
101600,122,cybercity.dk,dk,1293,1727,cybercity.dk,dk,102705,121,1285,1716
104413,123,bold.dk,dk,1272,1964,bold.dk,dk,104793,123,1268,1946
104803,124,jubii.dk,dk,1269,1802,jubii.dk,dk,104451,122,1271,1799
105898,125,laegemiddelstyrelsen.dk,dk,1260,1904,laegemiddelstyrelsen.dk,dk,105991,125,1258,1889
106133,126,regionh.dk,dk,1258,2080,regionh.dk,dk,105361,124,1263,2091
108042,127,billetto.dk,dk,1242,2410,billetto.dk,dk,109084,127,1232,2413
108180,128,kglteater.dk,dk,1241,1934,kglteater.dk,dk,108732,126,1235,1924
108520,129,postnord.dk,dk,1238,1890,postnord.dk,dk,113217,135,1200,1850
108560,130,cube.dk,dk,1238,1666,cube.dk,dk,111919,134,1210,1644
108757,131,dac.dk,dk,1236,1786,dac.dk,dk,109970,130,1225,1774
109533,132,takeoffcph.dk,dk,1230,1973,takeoffcph.dk,dk,110353,131,1222,1967
110568,133,careofcarl.dk,dk,1222,2028,careofcarl.dk,dk,111618,133,1212,2023
111042,134,ticketmaster.dk,dk,1218,2100,ticketmaster.dk,dk,111614,132,1212,2105
111707,135,novonordiskfonden.dk,dk,1213,1656,novonordiskfonden.dk,dk,109882,129,1226,1665
113489,136,slks.dk,dk,1199,1939,slks.dk,dk,117981,141,1171,1916
114170,137,ordnet.dk,dk,1194,2005,ordnet.dk,dk,113916,137,1195,1999
114478,138,odense.dk,dk,1192,1944,odense.dk,dk,113520,136,1198,1936
114919,139,jobindex.dk,dk,1189,1995,jobindex.dk,dk,109578,128,1228,2015
115490,140,stiften.dk,dk,1185,2166,stiften.dk,dk,114828,138,1189,2172
115705,141,stormfashion.dk,dk,1184,1772,stormfashion.dk,dk,118004,142,1171,1750
117228,142,proshop.dk,dk,1175,1932,proshop.dk,dk,116588,140,1179,1926
117341,143,erhvervsstyrelsen.dk,dk,1174,2440,erhvervsstyrelsen.dk,dk,116003,139,1182,2452
118337,144,cphdox.dk,dk,1169,1575,cphdox.dk,dk,120433,145,1157,1563
118879,145,kum.dk,dk,1166,1791,kum.dk,dk,118530,143,1168,1789
119241,146,fck.dk,dk,1164,1707,fck.dk,dk,121329,147,1151,1703
120727,147,lygte-info.dk,dk,1156,1426,lygte-info.dk,dk,120144,144,1159,1424
121358,148,knuckleheads.dk,dk,1152,1509,knuckleheads.dk,dk,121706,149,1149,1496
121473,149,stm.dk,dk,1151,1695,stm.dk,dk,121645,148,1149,1695
122960,150,vikingeskibsmuseet.dk,dk,1142,1661,vikingeskibsmuseet.dk,dk,122167,150,1146,1654
123640,151,helle.dk,dk,1138,1572,helle.dk,dk,121199,146,1152,1572
124073,152,fdm.dk,dk,1135,1980,fdm.dk,dk,125997,153,1121,1968
125932,153,aros.dk,dk,1123,1691,aros.dk,dk,126798,154,1116,1678
126547,154,kvinfo.dk,dk,1119,1624,kvinfo.dk,dk,125872,151,1122,1634
127005,155,fmn.dk,dk,1116,1591,fmn.dk,dk,129894,159,1097,1564
127407,156,gyldendal.dk,dk,1113,1993,gyldendal.dk,dk,125992,152,1121,1999
128232,157,dkuug.dk,dk,1109,1278,dkuug.dk,dk,128667,156,1105,1267
129177,158,justitsministeriet.dk,dk,1102,2016,justitsministeriet.dk,dk,127755,155,1110,2014
129556,159,gettyimages.dk,dk,1100,1792,gettyimages.dk,dk,128994,157,1102,1791
130191,160,cop15.dk,dk,1097,1350,cop15.dk,dk,130662,161,1093,1348
131392,161,sydspanien.dk,dk,1090,1373,sydspanien.dk,dk,130463,160,1094,1375
131633,162,tv2nord.dk,dk,1088,1903,tv2nord.dk,dk,134489,164,1071,1881
131877,163,punktum.dk,dk,1087,1496,punktum.dk,dk,149194,195,1001,1363
132369,164,teknologisk.dk,dk,1084,1732,teknologisk.dk,dk,129671,158,1098,1745
134077,165,energinet.dk,dk,1075,1574,energinet.dk,dk,133796,162,1075,1564
134535,166,nikse.dk,dk,1073,1286,nikse.dk,dk,134276,163,1073,1286
134550,167,danskerhverv.dk,dk,1072,1885,danskerhverv.dk,dk,140171,173,1044,1799
135569,168,bibliotek.dk,dk,1067,1887,bibliotek.dk,dk,136559,166,1061,1890
135612,169,streetammo.dk,dk,1067,1698,streetammo.dk,dk,138746,170,1051,1685
135620,170,dr-adams.dk,dk,1067,1664,dr-adams.dk,dk,141410,175,1038,1631
135987,171,vejdirektoratet.dk,dk,1065,1773,vejdirektoratet.dk,dk,134886,165,1069,1771
137556,172,golfbox.dk,dk,1058,1438,golfbox.dk,dk,137547,167,1057,1440
138114,173,tv2fyn.dk,dk,1055,1788,tv2fyn.dk,dk,138485,169,1052,1781
138766,174,mcverdi.dk,dk,1052,1681,mcverdi.dk,dk,142426,177,1033,1660
139618,175,tipsbladet.dk,dk,1048,1605,tipsbladet.dk,dk,137708,168,1056,1598
140673,176,brics.dk,dk,1044,1191,brics.dk,dk,140351,174,1044,1183
141170,177,gamereactor.dk,dk,1041,1490,gamereactor.dk,dk,139634,171,1047,1482
141217,178,dk-hostmaster.dk,dk,1041,1358,dk-hostmaster.dk,dk,142506,178,1033,1361
142573,179,kbharkiv.dk,dk,1034,1626,kbharkiv.dk,dk,140005,172,1045,1680
143543,180,firstmonday.dk,dk,1030,1185,firstmonday.dk,dk,145090,186,1021,1186
143548,181,tvmidtvest.dk,dk,1029,1934,tvmidtvest.dk,dk,145320,187,1019,1921
143972,182,rigshospitalet.dk,dk,1027,1665,rigshospitalet.dk,dk,143445,180,1028,1663
144511,183,studyindenmark.dk,dk,1025,1320,studyindenmark.dk,dk,145011,185,1021,1309
144779,184,kvl.dk,dk,1024,1217,kvl.dk,dk,143616,182,1028,1217
145211,185,version2.dk,dk,1021,1579,version2.dk,dk,142237,176,1034,1586
145531,186,dedanskecasinoer.dk,dk,1020,1317,dedanskecasinoer.dk,dk,143338,179,1029,1326
145858,187,fm.dk,dk,1018,1559,fm.dk,dk,143467,181,1028,1572
146027,188,avisen.dk,dk,1017,1737,avisen.dk,dk,146154,189,1015,1731
146311,189,coronasmitte.dk,dk,1016,1439,coronasmitte.dk,dk,144319,183,1024,1445
146377,190,bilpriser.dk,dk,1016,1306,bilpriser.dk,dk,144388,184,1024,1316
147537,191,via.dk,dk,1010,1459,via.dk,dk,148286,193,1005,1451
147839,192,creptiles.dk,dk,1009,1263,creptiles.dk,dk,146918,190,1012,1263
148525,193,denstoredanske.dk,dk,1005,1818,denstoredanske.dk,dk,149548,197,999,1806
149220,194,naevneneshus.dk,dk,1002,2070,naevneneshus.dk,dk,145952,188,1016,2082
149225,195,domstol.dk,dk,1002,1666,domstol.dk,dk,149345,196,1000,1671
149740,196,danwatch.dk,dk,1000,1383,danwatch.dk,dk,148524,194,1004,1371
150803,197,norlys.dk,dk,995,1682,norlys.dk,dk,154889,205,975,1638
151235,198,matas.dk,dk,993,1653,matas.dk,dk,147813,192,1007,1659
151449,199,nemtilmeld.dk,dk,992,2009,nemtilmeld.dk,dk,147806,191,1007,2024
151450,200,tv2lorry.dk,dk,992,1817,tv2lorry.dk,dk,151332,200,991,1811
151525,201,sparetimeteaching.dk,dk,992,1334,sparetimeteaching.dk,dk,150495,199,995,1326
152302,202,yousee.dk,dk,988,1798,yousee.dk,dk,152197,201,987,1818
153237,203,finanstilsynet.dk,dk,984,1507,finanstilsynet.dk,dk,155404,206,973,1497
154467,204,byggebasen.dk,dk,979,1270,byggebasen.dk,dk,152771,202,985,1267
155000,205,humanrights.dk,dk,977,1229,humanrights.dk,dk,149737,198,999,1232
155176,206,lastbilnyhederne.dk,dk,976,1328,lastbilnyhederne.dk,dk,157089,212,966,1322
155994,207,diskacme.dk,dk,973,1218,diskacme.dk,dk,154109,203,979,1216
156228,208,hfengly.dk,dk,972,1214,hfengly.dk,dk,155556,207,973,1213
156292,209,viksoe.dk,dk,972,1134,viksoe.dk,dk,157726,215,964,1133
157023,210,eventyrsport.dk,dk,968,1476,eventyrsport.dk,dk,159887,219,954,1472
157029,211,nordschleswiger.dk,dk,968,1467,nordschleswiger.dk,dk,157295,213,965,1464
157906,212,weekendavisen.dk,dk,964,1650,weekendavisen.dk,dk,154887,204,975,1653
157969,213,vifa.dk,dk,964,1371,vifa.dk,dk,156394,211,969,1371
158115,214,nbi.dk,dk,964,1153,nbi.dk,dk,158426,217,961,1150
158181,215,ism.dk,dk,963,1465,ism.dk,dk,156140,210,970,1481
159291,216,dhh.dk,dk,959,1143,dhh.dk,dk,156096,209,971,1136
159796,217,danskebank.dk,dk,956,1662,danskebank.dk,dk,155624,208,972,1671
160036,218,business.dk,dk,955,1519,business.dk,dk,159424,218,956,1511
160253,219,emu.dk,dk,954,1719,emu.dk,dk,157496,214,964,1705
160278,220,magasin.dk,dk,954,1480,magasin.dk,dk,158023,216,962,1484
162411,221,tvsyd.dk,dk,945,1688,tvsyd.dk,dk,164854,227,934,1688
162681,222,danskemedier.dk,dk,944,1601,danskemedier.dk,dk,163552,222,939,1602
163253,223,leholt.dk,dk,942,1259,leholt.dk,dk,160916,220,950,1250